ID: 154 VCC: 26.59 V: -0 -0  -0 C: 0 0.0195503  0.0146628 O: -0 -0  -0 HERR: 0  0  0
ID: 155 VCC: 26.55 V: -0 -0  -0 C: 0 0.0244379  0.00488759 O: -0 -0  -0 HERR: 0  0  0
ID: 156 VCC: 26.35 V: -0 -0  -0 C: 0.0146628 0.00488759  0 O: -0 -0  -0 HERR: 0  0  0
ID: 157 VCC: 26.51 V: -0 -0  -0 C: 0 0  0.0244379 O: -0 -0  -0 HERR: 0  0  0
ID: 158 VCC: 26.35 V: -0 -0  -0 C: 0 0  0.0293255 O: -0 -0  -0 HERR: 0  0  0
ID: 159 VCC: 26.35 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 160 VCC: 26.59 V: -0 -0  -0 C: 0 0.0244379  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 161 VCC: 26.59 V: -0 -0  -0 C: 0 0.0195503  0.00488759 O: -0 -0  -0 HERR: 0  0  0
ID: 162 VCC: 26.43 V: -0 -0  -0 C: 0.0146628 0.00977517  0 O: -0 -0  -0 HERR: 0  0  0
ID: 163 VCC: 26.59 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 164 VCC: 26.47 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 165 VCC: 26.63 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 166 VCC: 26.51 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 167 VCC: 26.43 V: -0 -0  -0 C: 0 0  0.0244379 O: -0 -0  -0 HERR: 0  0  0
ID: 168 VCC: 26.47 V: -0 -0  -0 C: 0 0.00977517  0.0146628 O: -0 -0  -0 HERR: 0  0  0
ID: 169 VCC: 26.35 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 170 VCC: 26.59 V: -0 -0  -0 C: 0 0.0195503  0.00488759 O: -0 -0  -0 HERR: 0  0  0
ID: 171 VCC: 26.51 V: -0 -0  -0 C: 0 0.0195503  0 O: -0 -0  -0 HERR: 0  0  0
ID: 172 VCC: 26.47 V: -0 -0  -0 C: 0.0146628 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 173 VCC: 26.47 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 174 VCC: 26.39 V: -0 -0  -0 C: 0.00977517 0.00977517  0 O: -0 -0  -0 HERR: 0  0  0
ID: 175 VCC: 26.51 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 176 VCC: 26.43 V: -0 -0  -0 C: 0 0  0.0244379 O: -0 -0  -0 HERR: 0  0  0
ID: 177 VCC: 26.39 V: -0 -0  -0 C: 0 0  0.0244379 O: -0 -0  -0 HERR: 0  0  0
ID: 178 VCC: 26.59 V: -0 -0  -0 C: 0.00977517 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 179 VCC: 26.47 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 180 VCC: 26.59 V: -0 -0  -0 C: 0 0.0195503  0.00488759 O: -0 -0  -0 HERR: 0  0  0
ID: 181 VCC: 26.51 V: -0 -0  -0 C: 0 0  0.0293255 O: -0 -0  -0 HERR: 0  0  0
ID: 182 VCC: 26.47 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 183 VCC: 26.59 V: -0 -0  -0 C: 0 0.0195503  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 184 VCC: 26.59 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 185 VCC: 26.51 V: -0 -0  -0 C: 0 0.0244379  0 O: -0 -0  -0 HERR: 0  0  0
ID: 186 VCC: 26.35 V: -0 -0  -0 C: 0 0.00488759  0.0293255 O: -0 -0  -0 HERR: 0  0  0
ID: 187 VCC: 26.63 V: -0 -0  -0 C: 0 0.00977517  0.0146628 O: -0 -0  -0 HERR: 0  0  0
ID: 188 VCC: 26.63 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 189 VCC: 26.51 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 190 VCC: 26.23 V: -0 -0  -0 C: 0 0.0146628  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 191 VCC: 26.59 V: -0 -0  -0 C: 0.00488759 0.00977517  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 192 VCC: 26.35 V: -0.227479 0.227479  -0 C: 0.00977517 0  0 O: 0.00293255 -0.00293255  -0 HERR: 1  0  0
ID: 193 VCC: 26.43 V: -0.227479 0.113739  -0 C: 0.00977517 0.00977517  0 O: 0.00293255 -0.000977517  -0 HERR: 0  0  0
ID: 194 VCC: 26.63 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 1  0  0
ID: 195 VCC: 26.35 V: 0.113739 -0.113739  -0 C: 0 0  0.0342131 O: -0.000977517 0.000977517  -0 HERR: 0  1  0
ID: 196 VCC: 26.63 V: 0.113739 -0.682436  -0 C: 0.00488759 0  0 O: -0.000977517 0.00879765  -0 HERR: 0  0  0
ID: 197 VCC: 26.35 V: 0.341218 -0.113739  -0 C: 0.0146628 0.00488759  0 O: -0.00391007 0.000977517  -0 HERR: 0  0  0
ID: 198 VCC: 26.59 V: 0.341218 -0.568696  -0 C: 0.0146628 0.00488759  0 O: -0.00391007 0.00782014  -0 HERR: 0  0  0
ID: 199 VCC: 26.35 V: -0 0.227479  -0 C: 0.00488759 0.0195503  0.00977517 O: -0 -0.00293255  -0 HERR: 0  1  0
ID: 200 VCC: 26.59 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 201 VCC: 26.47 V: -0 -0  -0.113739 C: 0 0.00977517  0.0146628 O: -0 -0  0.000977517 HERR: 0  0  1
ID: 202 VCC: 26.59 V: -0 -0  -0 C: 0 0.0195503  0.00977517 O: -0 -0  -0 HERR: 0  0  1
ID: 203 VCC: 26.63 V: -0 -0  -0 C: 0.00977517 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 204 VCC: 26.47 V: -0 0.454957  -0 C: 0.00977517 0  0 O: -0 -0.0058651  -0 HERR: 0  0  0
ID: 205 VCC: 26.63 V: -0.454957 0.227479  -0 C: 0 0.00977517  0.00977517 O: 0.0058651 -0.00293255  -0 HERR: 1  0  0
ID: 206 VCC: 26.43 V: -0 -0  -0 C: 0 0  0.0195503 O: -0 -0  -0 HERR: 1  0  0
ID: 207 VCC: 26.47 V: -0 0.113739  0.113739 C: 0 0.0146628  0.00977517 O: -0 -0.000977517  -0.000977517 HERR: 0  0  0
ID: 208 VCC: 26.67 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 209 VCC: 26.51 V: 0.113739 -0  -0 C: 0.0146628 0  0 O: -0.000977517 -0  -0 HERR: 0  0  0
ID: 210 VCC: 26.47 V: -0 -0  -0 C: 0.00488759 0.0146628  0.0146628 O: -0 -0  -0 HERR: 0  0  0
ID: 211 VCC: 26.35 V: -0 -0.113739  -0 C: 0 0  0.0342131 O: -0 0.000977517  -0 HERR: 0  1  0
ID: 212 VCC: 26.51 V: -0 -0  -0 C: 0 0.00977517  0 O: -0 -0  -0 HERR: 0  1  0
ID: 213 VCC: 26.51 V: -0 -0  -0 C: 0 0.0244379  0.00488759 O: -0 -0  -0 HERR: 0  0  0
ID: 214 VCC: 26.43 V: -0 -0  -0 C: 0 0  0.0195503 O: -0 -0  -0 HERR: 0  0  0
ID: 215 VCC: 26.47 V: -0 -0  -0 C: 0.00488759 0.0146628  0.0146628 O: -0 -0  -0 HERR: 0  0  0
ID: 216 VCC: 26.55 V: -0 -0  -0 C: 0 0.0244379  0.00488759 O: -0 -0  -0 HERR: 0  0  0
ID: 217 VCC: 26.35 V: -0 -0  -0 C: 0.00977517 0.00488759  0 O: -0 -0  -0 HERR: 0  0  0
ID: 218 VCC: 26.51 V: -0 -0  -0 C: 0 0.00977517  0 O: -0 -0  -0 HERR: 0  0  0
